artist,title,bpm,length,artwork,year,link
Avalon Emerson,Church of SoMa,126,6:46,https://geo-media.beatport.com/image/9413931.jpg,2014,https://soundcloud.com/spring-theory/sets/avalon-emerson-church-of-soma-snippets
Avalon Emerson,Church of SoMa (HNNY Remix),117,4:41,https://geo-media.beatport.com/image/9413931.jpg,2014,https://soundcloud.com/spring-theory/sets/avalon-emerson-church-of-soma-snippets
Avalon Emerson,Synagogue of SoMa,125,7:29,https://geo-media.beatport.com/image/9413931.jpg,2014,https://soundcloud.com/spring-theory/sets/avalon-emerson-church-of-soma-snippets
Aria Rostami,Czarat,115,6:41,https://geo-media.beatport.com/image/10245733.jpg,2014,https://soundcloud.com/spring-theory/sets/aria-rostami-czarat
Aria Rostami,Czarat (Secret Circuit Acid Dub Remix),115,6:45,https://geo-media.beatport.com/image/10245733.jpg,2014,https://soundcloud.com/spring-theory/sets/aria-rostami-czarat
Aria Rostami,Vietnamoses,140,10:39,https://geo-media.beatport.com/image/10245733.jpg,2014,https://soundcloud.com/spring-theory/sets/aria-rostami-czarat
Avalon Emerson,Let Me Love & Steal,124,6:18,https://geo-media.beatport.com/image/10271013.jpg,2014,https://soundcloud.com/spring-theory/sets/st003-avalon-emerson-let-me
Avalon Emerson,Let Me Love & Steal (Triple Scorpio Mix),126,5:41,https://geo-media.beatport.com/image/10271013.jpg,2014,https://soundcloud.com/spring-theory/sets/st003-avalon-emerson-let-me
Avalon Emerson,Honest Gangster ,122,6:21,https://geo-media.beatport.com/image/10271013.jpg,2014,https://soundcloud.com/spring-theory/sets/st003-avalon-emerson-let-me
Avalon Emerson,Honest Gangster (Arpapella),122,3:16,https://geo-media.beatport.com/image/10271013.jpg,2014,https://soundcloud.com/spring-theory/sets/st003-avalon-emerson-let-me
Keita Sano,Once I Found a Diamond,122,5:50,https://geo-media.beatport.com/image/11396740.jpg,2015,https://soundcloud.com/spring-theory/sets/st004-keita-sano-sweet-bitter
Keita Sano,Once I Found a Diamond (Jacques Renault Trouble Funk Remix),122,5:30,https://geo-media.beatport.com/image/11396740.jpg,2015,https://soundcloud.com/spring-theory/sets/st004-keita-sano-sweet-bitter
Keita Sano,Sweet Bitter Love,124,7:06,https://geo-media.beatport.com/image/11396740.jpg,2015,https://soundcloud.com/spring-theory/sets/st004-keita-sano-sweet-bitter
Keita Sano,Bouzouk,124,6:48,https://geo-media.beatport.com/image/11396740.jpg,2015,https://soundcloud.com/spring-theory/sets/st004-keita-sano-sweet-bitter
Sage Caswell,Sleep Quarters,125,7:44,https://geo-media.beatport.com/image/12154401.jpg,2015,https://soundcloud.com/spring-theory/sets/sage-caswell-sleep-quarters-ep-st005
Sage Caswell,Paper USB,124,8:18,https://geo-media.beatport.com/image/12154401.jpg,2015,https://soundcloud.com/spring-theory/sets/sage-caswell-sleep-quarters-ep-st005
Sage Caswell,Shiny Dog,159,5:49,https://geo-media.beatport.com/image/12154401.jpg,2015,https://soundcloud.com/spring-theory/sets/sage-caswell-sleep-quarters-ep-st005
Sage Caswell,For Runner,141,9:37,https://geo-media.beatport.com/image/12154401.jpg,2015,https://soundcloud.com/spring-theory/sets/sage-caswell-sleep-quarters-ep-st005
